video_id_and_cpn,codecs,dims_and_frames,bandwidth_kbps,buffer_health_seconds,date,drm_style,drm,debug_info,extra_debug_info,bandwidth_style,network_activity_style,network_activity_bytes,shader_info_style,playback_categories,volume,resolution,color,color_style,live_mode_style,live_latency_style,playback_categories_style,bandwidth_samples,network_activity_samples,live_latency_samples,buffer_health_samples,cotn_and_local_media_style,release_style,extra_debug_info_style,playback_fraction,current_time
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:32 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:32 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:33 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:33 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:33 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:33 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:34 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:34 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:34 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:34 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:35 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:35 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:35 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:35 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:36 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:36 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:36 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:36 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:54 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:54 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:54 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:54 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:55 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:55 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:55 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:55 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:56 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:56 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:56 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:56 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:57 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:57 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:57 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:57 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:58 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:58 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:58 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:58 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:59 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:59 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
fSKQRDq3RkM / 3397 ZWNH WQFK,av01.0.05M.08 (398) / opus (251),870x489 / 2 dropped of 301,43643 Kbps,122.70 s,Fri Sep 22 2023 10:53:59 GMT-0700 (Pacific Daylight Time),display:none,,s:4 t:12.44 b:0.000-135.135 P pbs:10840,,,,0 KB,display:none,,100% / 90% (content loudness 0.9dB),1280x720@24 / 854x480@24,bt709 / bt709,,display:none,display:none,display:none,[5586252],[0],[None],[122.69780731201172],display:none,display:none,display:none,0.6521298468784534,12.437188
